Bank Name,Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
Metro Bank of Dade County,16-Jul-10,$442.30 ,$391.30 
First National Bank of the South,16-Jul-10,$682.00 ,$610.10 
Woodlands Bank,16-Jul-10,$376.20 ,$355.30 
Home National Bank,09-Jul-10,$644.50 ,$560.70 
USA Bank,09-Jul-10,$193.30 ,$189.90 
Ideal Federal Savings Bank,09-Jul-10,$6.30 ,$5.80 
Bay National Bank,09-Jul-10,$282.20 ,$276.10 
High Desert State Bank,25-Jun-10,$80.30 ,$81.00 
First National Bank,25-Jun-10,$252.50 ,$231.90 
Peninsula Bank,25-Jun-10,$644.30 ,$580.10 
Nevada Security Bank,18-Jun-10,$480.30 ,$479.80 
Washington First International Bank,11-Jun-10,$520.90 ,$441.40 
TierOne Bank,04-Jun-10,"$2,800.00 ","$2,200.00 "
Arcola Homestead Savings Bank,04-Jun-10,$17.00 ,$18.10 
First National Bank,04-Jun-10,$60.40 ,$63.50 
Sun West Bank,28-May-10,$360.70 ,$353.90 
Granite Community Bank,28-May-10,$102.90 ,$94.20 
Bank of Florida - Tampa Bay,28-May-10,$245.20 ,$224.00 
Bank of Florida - Southwest,28-May-10,$640.90 ,$559.90 
Bank of Florida - Southeast,28-May-10,$595.30 ,$531.70 
Pinehurst Bank,21-May-10,$61.20 ,$58.30 
Midwest Bank and Trust Company,14-May-10,"$3,170.00 ","$2,420.00 "
Southwest Community Bank,14-May-10,$96.60 ,$102.50 
New Liberty Bank,14-May-10,$109.10 ,$101.80 
Satilla Community Bank,14-May-10,$135.70 ,$134.00 
1st Pacific Bank of California,07-May-10,$335.80 ,$291.20 
Towne Bank of Arizona,07-May-10,$120.20 ,$113.20 
Access Bank,07-May-10,$32.00 ,$32.00 
The Bank of Bonifay,07-May-10,$242.90 ,$230.20 
Frontier Bank,30-Apr-10,"$3,500.00 ","$3,130.00 "
BC National Banks,30-Apr-10,$67.20 ,$54.90 
Champion Bank,30-Apr-10,$187.30 ,$153.80 
CF Bancorp,30-Apr-10,"$1,650.00 ","$1,430.00 "
Westernbank Puerto Rico,30-Apr-10,"$11,940.00 ","$8,620.00 "
R-G Premier Bank of Puerto Rico,30-Apr-10,"$5,920.00 ","$4,250.00 "
Eurobank,30-Apr-10,"$2,560.00 ","$1,970.00 "
Wheatland Bank,23-Apr-10,$437.20 ,$438.50 
Peotone Bank and Trust Company,23-Apr-10,$130.20 ,$127.00 
Lincoln Park Savings Bank,23-Apr-10,$199.90 ,$171.50 
New Century Bank,23-Apr-10,$485.60 ,$492.00 
Citizens Bank & Trust Company of Chicago,23-Apr-10,$77.30 ,$74.50 
Broadway Bank,23-Apr-10,"$1,200.00 ","$1,100.00 "
Amcore Bank,23-Apr-10,"$3,800.00 ","$3,400.00 "
City Bank,16-Apr-10,"$1,130.00 ","$1,020.00 "
Tamalpais Bank,16-Apr-10,$628.90 ,$487.60 
